Time,Phase 1 [0] Score,Phase 4 [1] Score,Waiting Time,Queue Lengths,Number of Vehicles Exited the Intersection
152,178.5,15.0,325.0,47,113
153,191.0,15.0,350.0,47,113
154,204.5,14.0,376.0,47,114
155,218.5,14.0,403.0,48,115
156,232.0,14.0,430.0,48,116
157,246.0,14.0,457.0,49,116
158,261.5,13.0,487.0,49,118
159,276.5,14.0,518.0,49,118
160,292.5,13.0,548.0,50,119
161,309.0,13.0,579.0,52,120
162,325.0,13.0,611.0,52,120
163,341.0,13.0,643.0,52,122
164,359.0,13.0,679.0,52,122
165,377.0,16.0,717.0,53,122
166,395.5,16.0,753.0,54,123
167,414.5,13.0,789.0,53,123
168,433.0,12.0,825.0,53,123
169,451.5,13.0,862.0,54,124
170,471.5,11.0,901.0,53,124
171,491.0,11.0,940.0,53,125
172,510.5,11.0,979.0,53,125
173,530.5,11.0,1018.0,54,126
174,550.5,11.0,1058.0,54,127
175,571.0,9.0,1098.0,53,128
176,591.0,10.0,1138.0,54,130
177,611.0,10.0,1178.0,54,130
178,632.0,11.0,1220.0,55,130
179,652.5,13.0,1262.0,56,130
180,580.5,17.0,1125.0,53,132
181,515.5,22.0,999.0,54,132
182,455.5,27.0,884.0,54,133
183,396.0,35.0,774.0,53,134
184,342.5,43.0,675.0,53,136
185,290.5,51.0,579.0,53,136
186,259.5,61.0,528.0,52,136
187,235.5,71.0,489.0,53,136
188,210.5,81.0,452.0,50,136
189,192.5,92.0,426.0,51,137
190,173.5,104.0,401.0,50,139
191,155.5,116.0,377.0,50,140
192,147.0,128.0,373.0,49,142
193,153.5,141.0,399.0,49,142
194,161.0,155.0,428.0,49,145
195,169.5,168.0,457.0,50,146
196,178.0,182.0,489.0,49,147
197,187.0,198.0,522.0,50,149
198,196.0,213.0,556.0,49,150
199,206.5,228.0,592.0,49,153
200,217.0,245.0,629.0,50,153
201,227.5,262.0,667.0,50,154
202,239.5,279.0,707.0,51,155
203,242.5,297.0,732.0,50,155
204,250.5,316.0,767.0,50,156
205,260.0,336.0,805.0,51,156
206,269.5,355.0,843.0,51,157
207,278.5,376.0,882.0,51,158
208,288.0,396.0,921.0,51,158
209,297.5,417.0,961.0,51,159
210,306.0,440.0,1002.0,50,159
211,316.0,462.0,1043.0,51,159
212,325.0,486.0,1086.0,50,160
213,334.0,510.0,1129.0,49,161
